Close,High,Low,Transactions,Open,Timestamp,Volume,AVG_Price_Volume
735.69,740.69,729.56,9094,737.89,2021-01-01 00:00:00,20287.99962693,734.1584
749.88,750.34,733.3,11763,735.75,2021-01-01 01:00:00,27631.5390903,744.5973
745.54,750.06,741.14,8042,749.93,2021-01-01 02:00:00,21643.36893748,746.0609
746.17,748.55,743.432,6296,745.85,2021-01-01 03:00:00,19529.505385490003,746.0002
743.02489793,748.53,738.473,7147,746.17,2021-01-01 04:00:00,22764.597860999995,744.2948
742.02,744.51,739.477,6301,743.58,2021-01-01 05:00:00,22108.35827117,741.6868
740.01,744.42,737.0,5834,742.2,2021-01-01 06:00:00,23685.50986928,740.4028
738.45,741.81,734.171,6908,741.07,2021-01-01 07:00:00,28479.9680215,737.8044
731.57,740.13,724.95,17154,738.54,2021-01-01 08:00:00,56257.72222868,731.4937
735.2,736.4,728.44,5950,731.58,2021-01-01 09:00:00,18965.554107019994,733.3678
736.784,740.68,732.72,3839,735.2,2021-01-01 10:00:00,20181.056892940007,736.704
740.71,743.41,735.7,4363,738.67,2021-01-01 11:00:00,21227.602318559995,738.9733
734.79,745.52,732.072,8586,740.66,2021-01-01 12:00:00,31389.41687662,739.0317
742.25,744.57,733.026,5523,734.79,2021-01-01 13:00:00,25310.449380099995,738.369
739.53,744.78,736.483,6151,741.81,2021-01-01 14:00:00,22760.21208677,740.0253
737.27,741.96,733.547,6837,738.0,2021-01-01 15:00:00,20595.28986753001,737.4857
735.241,739.6,733.113,6588,737.27,2021-01-01 16:00:00,25206.8729661,735.8746
730.26,738.56,726.853,11215,737.58,2021-01-01 17:00:00,36424.18447765,732.9154
725.99,734.01,715.275,17154,729.6,2021-01-01 18:00:00,43043.30670436002,725.459
727.45,730.3,721.168,8443,725.97,2021-01-01 19:00:00,20247.51059698,725.13
730.8,732.94,722.604,8119,727.36,2021-01-01 20:00:00,21249.883306040003,728.2404
730.18,732.66,726.834,6230,731.88,2021-01-01 21:00:00,11624.898639320005,730.4174
731.14,733.72,726.102,6408,729.73,2021-01-01 22:00:00,11647.83138902,730.1768
730.85,732.32,727.635,5690,730.61,2021-01-01 23:00:00,12625.12721738,730.2421
721.8,732.0,715.22,12279,730.97,2021-01-02 00:00:00,35938.68323773999,722.3369
731.32,733.69,714.89,9677,721.99,2021-01-02 01:00:00,33069.644399820005,725.1144
731.65,736.36,729.176,6145,731.55,2021-01-02 02:00:00,23086.1749833,732.1713
732.3,734.0,728.235,4750,731.62,2021-01-02 03:00:00,11975.605653340004,731.3399
729.455,732.47,726.09,4698,732.36,2021-01-02 04:00:00,15037.70011132,729.6315
732.08,739.0,729.103,5198,731.66,2021-01-02 05:00:00,14401.04646839,733.307
738.95,743.0,730.538,7655,732.4,2021-01-02 06:00:00,20363.021697169992,736.3894
737.13,740.45,733.266,4913,739.1,2021-01-02 07:00:00,12893.2989184,736.5885
735.92,740.09,728.42,5063,735.868245,2021-01-02 08:00:00,16619.250067619996,733.877
727.16,736.33,723.0,5821,735.85,2021-01-02 09:00:00,18492.775439430014,730.9958
728.5,735.66,723.056,4906,727.1,2021-01-02 10:00:00,12873.479412000002,729.8264
731.65,733.09,727.521,3140,730.47,2021-01-02 11:00:00,14564.78513756,730.3725
753.28,758.34,728.628,22027,731.6,2021-01-02 12:00:00,75164.99798480002,747.0426
770.285,774.33,749.393,28304,753.63,2021-01-02 13:00:00,93675.17835635,764.2065
760.275,772.73,751.136995,20134,770.379,2021-01-02 14:00:00,49843.83772864997,761.0114
770.76,771.0,760.086,18220,762.56,2021-01-02 15:00:00,36652.41705949,765.8663
784.01,785.14,764.331,37956,770.85,2021-01-02 16:00:00,104725.39990002997,775.264
780.82,786.81,773.19,24096,782.82,2021-01-02 17:00:00,63236.36218037001,779.9722
781.53,785.52,772.0,19033,778.45,2021-01-02 18:00:00,36602.86420562,779.502
786.73,789.21,776.16,19466,779.77,2021-01-02 19:00:00,37662.95892562001,784.7728
760.46,787.44,753.12,36627,783.68,2021-01-02 20:00:00,86649.02070462002,769.7152
769.42,772.53,751.0,22902,758.39,2021-01-02 21:00:00,57762.17078313003,764.6784
772.0,775.52,765.369,10361,769.5,2021-01-02 22:00:00,25731.94239869,771.0138
775.3,780.82,762.76,14603,772.94,2021-01-02 23:00:00,37564.94579401998,773.1114
776.21,780.49,770.852,10304,774.82,2021-01-03 00:00:00,17714.508467120002,776.0721
776.628,779.91,772.512,9507,776.39,2021-01-03 01:00:00,23593.60699297,776.797
779.78,782.99,775.561,11733,776.779,2021-01-03 02:00:00,21664.87544458,779.1026
773.15,780.47,771.283,9697,780.3,2021-01-03 03:00:00,21529.8569259,776.1356
779.0,779.85,769.0,9987,773.65,2021-01-03 04:00:00,21790.7132504,773.2191
786.27,791.22,776.47,20867,777.88,2021-01-03 05:00:00,49377.50759652998,786.9289
801.25,802.0,780.42,25858,786.78,2021-01-03 06:00:00,78666.63052409994,796.5933
800.8,806.94,792.93,23686,800.0,2021-01-03 07:00:00,67963.38571054004,801.0918
817.6,820.0,790.945,21752,799.876,2021-01-03 08:00:00,52230.06454696,808.4089
818.11,826.0,809.64,18905,817.21,2021-01-03 09:00:00,44262.27049866998,818.5125
826.17,829.87,816.03,18482,818.12,2021-01-03 10:00:00,49664.96322622998,823.7681
830.73,833.0,823.839,13596,825.35741266,2021-01-03 11:00:00,48093.577009550005,828.7855
831.154,837.49,826.448,15249,830.86,2021-01-03 12:00:00,46616.22157256,832.4627
875.15,888.88,831.597,45146,833.0,2021-01-03 13:00:00,144714.51078179007,864.853
915.16,924.57,856.52,72249,874.4,2021-01-03 14:00:00,235939.76317034013,902.4703
919.23,921.9,880.61,56659,914.48,2021-01-03 15:00:00,122273.73740303,903.5592
934.88,979.44,918.309,99623,919.56,2021-01-03 16:00:00,295042.76993449044,952.5921
937.22,957.3,913.9,59473,928.59,2021-01-03 17:00:00,184821.5677059703,939.6131
917.77,942.83,887.0,51476,936.79,2021-01-03 18:00:00,131195.25167988,914.1764
921.24,927.0,898.57,30515,917.61,2021-01-03 19:00:00,55576.96110269998,911.1299
947.74,965.0,919.509,49333,921.41,2021-01-03 20:00:00,107855.27232859995,948.2523
951.37,958.88,935.832,24188,947.94,2021-01-03 21:00:00,37771.53011892999,948.989
993.49,1001.7,942.35,57588,949.42,2021-01-03 22:00:00,172215.2387727401,983.0026
980.44,1015.14,955.73,64367,991.17,2021-01-03 23:00:00,185700.8935674301,991.1361
975.285,995.99,948.78,45113,976.32,2021-01-04 00:00:00,136783.00065673998,973.7303
968.31,981.2,955.0,25354,978.05,2021-01-04 01:00:00,38492.71621913,968.2333
981.16,983.95,961.538,20350,966.82,2021-01-04 02:00:00,33413.615656810005,974.0138
1023.51,1029.23,976.94,43576,979.41,2021-01-04 03:00:00,101595.48002434998,1003.822
1025.7,1037.85,1010.6,43031,1023.73,2021-01-04 04:00:00,90976.56959526998,1026.3138
1088.34,1098.47,1014.563,59316,1029.83,2021-01-04 05:00:00,143499.2845045001,1060.528
1109.85,1169.97,1071.1,79253,1088.34,2021-01-04 06:00:00,246470.84953458043,1120.3699
1046.94522016,1125.42,1020.0,67853,1109.9,2021-01-04 07:00:00,256259.56982745024,1065.4621
1022.18,1081.23,982.75,54241,1046.3,2021-01-04 08:00:00,186149.13589964007,1033.4202
970.48,1032.7,905.0,72245,1022.48,2021-01-04 09:00:00,227959.2581662901,965.7027
960.94718521,984.54,860.0,73550,968.73,2021-01-04 10:00:00,270549.02276184014,930.367
976.84,980.11,929.666,37443,965.21,2021-01-04 11:00:00,119666.96254305996,954.7097
1017.4,1033.42,953.83,52672,977.06,2021-01-04 12:00:00,177032.02056385006,994.9945
1011.5,1020.55,968.71,36283,1019.29,2021-01-04 13:00:00,112354.17909437,996.2652
1045.3,1048.23,999.7,36140,1011.6,2021-01-04 14:00:00,96147.69285261996,1022.5893
1039.4907123,1059.74,1026.5,38589,1045.14,2021-01-04 15:00:00,94523.12142713997,1042.5129
1010.96,1050.0,978.17,49481,1041.51,2021-01-04 16:00:00,164121.0432069401,1003.4586
999.49,1027.4,984.539,35149,1011.0,2021-01-04 17:00:00,81876.59758325,1003.0551
1015.57,1026.21,997.852,28522,998.501,2021-01-04 18:00:00,55314.72080286,1012.8696
1039.113,1048.39,1009.687,30886,1016.1,2021-01-04 19:00:00,62063.432171109984,1031.7436
1019.17776662,1051.0,1016.0,28141,1043.62,2021-01-04 20:00:00,60426.16404544996,1036.404
1004.18943211,1036.96,985.9,36061,1021.85,2021-01-04 21:00:00,104756.14552021003,1007.1412
1013.82,1024.5,1001.30988656,15882,1007.34,2021-01-04 22:00:00,37992.44487228,1012.9363
1042.38,1048.0,999.13,30382,1014.17,2021-01-04 23:00:00,72801.60558461,1026.6848
1096.19,1136.93,1039.261,77968,1042.24,2021-01-05 00:00:00,288000.2275365601,1098.0934
1115.33,1117.8,1063.983,46698,1097.97,2021-01-05 01:00:00,158871.87416936003,1093.0768
1080.08,1117.84,1066.16,29920,1115.45,2021-01-05 02:00:00,67579.20673474002,1090.6502
1002.78,1089.82,993.47,49810,1080.38,2021-01-05 03:00:00,188374.01216594005,1030.1572
1004.62,1031.0,985.496,40888,1001.58,2021-01-05 04:00:00,135662.23048269993,1010.7687
990.34,1024.61,968.29,35042,1004.63,2021-01-05 05:00:00,101726.91592407,997.711
1015.9,1022.55,975.459,25091,990.32,2021-01-05 06:00:00,83598.18557206998,1000.8003
1003.69,1025.19,999.339,11349,1015.98,2021-01-05 07:00:00,25245.26957007,1011.5635
1027.92,1046.3,1002.377,18610,1004.25,2021-01-05 08:00:00,45948.17641105999,1029.5562
1037.01,1050.6,1020.359,16912,1027.84,2021-01-05 09:00:00,42686.951810970015,1038.2057
1028.67,1042.87,1011.59,15429,1036.12,2021-01-05 10:00:00,39511.98533923998,1028.48
1041.7,1044.24,1022.833,11219,1028.95,2021-01-05 11:00:00,22576.07258514001,1033.8437
1030.24,1057.0,1026.833,15116,1042.5,2021-01-05 12:00:00,32439.76615949,1041.8383
1024.72,1042.84,1022.537,11948,1030.0,2021-01-05 13:00:00,24134.761585029995,1035.3265
1049.77,1052.01,1000.156,28329,1022.936,2021-01-05 14:00:00,75957.67248065997,1024.9964
1054.64,1067.06451191,1036.372,24317,1051.08,2021-01-05 15:00:00,51589.20023599001,1052.0021
1067.9,1085.99,1035.894,31717,1055.01,2021-01-05 16:00:00,79484.17080205998,1064.9189
1078.856,1087.46,1059.0,22910,1068.06,2021-01-05 17:00:00,52777.962445860016,1072.4452
1077.58,1097.22,1068.442,27856,1083.64,2021-01-05 18:00:00,70145.14762247997,1085.6156
1100.05,1113.9,1042.721,49891,1076.99,2021-01-05 19:00:00,185685.5485358901,1088.1889
1102.2,1106.45,1078.821,29673,1100.85,2021-01-05 20:00:00,77102.70579260997,1092.2093
1086.04,1106.72,1074.018,26718,1102.58,2021-01-05 21:00:00,66139.63109219997,1093.6657
1112.17,1126.0,1081.794,32705,1084.75,2021-01-05 22:00:00,98758.26735598002,1109.9489
1098.732,1119.87,1080.347,34884,1112.55,2021-01-05 23:00:00,78356.19027850997,1101.7743
1083.35,1114.24,1064.26,31739,1102.97,2021-01-06 00:00:00,63114.21377147995,1083.8467
1074.26,1088.62,1055.742,23123,1082.98,2021-01-06 01:00:00,38096.47088078001,1072.5723
1080.0,1089.11,1070.1,20629,1070.133,2021-01-06 02:00:00,51711.80684001999,1080.8497
1075.5,1084.87,1062.012,20131,1080.0,2021-01-06 03:00:00,107339.71578301012,1072.541
1124.08,1140.76,1073.159,51113,1078.2,2021-01-06 04:00:00,174210.48670990003,1110.4558
1101.016,1130.33,1086.111,30444,1121.52152136,2021-01-06 05:00:00,295739.00683945045,1109.4342
1117.09,1122.37,1097.0,23017,1106.32,2021-01-06 06:00:00,173411.50822586002,1108.7693
1110.55,1127.48,1088.4,24881,1107.3,2021-01-06 07:00:00,88739.12322763006,1110.8745
1112.35,1126.57,1088.5,23709,1103.3925399,2021-01-06 08:00:00,112227.08995543,1108.3199
1098.6,1114.96,1090.0,20006,1110.283,2021-01-06 09:00:00,159080.84277897014,1099.3885
1116.03347986,1126.93,1095.0,19290,1098.109,2021-01-06 10:00:00,70194.55778903999,1110.7447
1151.505,1171.5,1110.125,42009,1116.1,2021-01-06 11:00:00,101446.82885557997,1149.1804
1143.645,1163.47,1122.91,33650,1155.22,2021-01-06 12:00:00,59668.72782720998,1144.0615
1138.4,1152.77,1120.511,28328,1147.43,2021-01-06 13:00:00,67359.29295002998,1134.643
1137.84,1150.82,1124.237,32230,1138.99,2021-01-06 14:00:00,50723.45077514998,1140.0493
1142.233,1158.17,1129.106,17546,1137.21,2021-01-06 15:00:00,35915.093756719994,1147.0536
1174.3,1196.54,1143.454,50170,1147.71,2021-01-06 16:00:00,134233.07253065,1176.9165
1194.1066284,1215.98,1169.049,39575,1173.50720039,2021-01-06 17:00:00,103282.06117682996,1196.6257
1195.76,1213.91,1182.084,32236,1196.55,2021-01-06 18:00:00,65089.51142693999,1198.0774
1161.2,1209.59,1148.4641196,38542,1195.73,2021-01-06 19:00:00,93328.92817134997,1187.8318
1200.87,1212.0,1111.01,66030,1161.2,2021-01-06 20:00:00,229493.22494492008,1162.4265
1183.71,1205.11,1172.296,31619,1202.12,2021-01-06 21:00:00,76286.34950108995,1188.9384
1179.5,1198.4,1170.44,20144,1184.68,2021-01-06 22:00:00,36094.90403246998,1189.3673
1208.093,1215.79,1172.842,28024,1179.4,2021-01-06 23:00:00,55067.41470082999,1198.765
1203.43,1223.84,1187.086,37990,1209.4,2021-01-07 00:00:00,72711.23103117988,1207.7417
